file name,judge
תפ_52902-01-21.docx,טל אוסטפלד נאוי
תפ_54957-01-21.docx,דוד שאול גבאי ריכטר
תפ_55353-01-21.docx,רונית פוזננסקי כץ
תפ_57939-01-21.docx,ענת חולתא
תפ_6659-02-21.docx,ארז נוריאלי
תפ_6677-02-21.docx,סימי פלג קימלוב
תפ_19464-05-21.docx,חנה מרים לומפ
תפ_28234-05-21.docx,יואל עדן
תפ_54543-06-21.docx,אינאס סלאמה
תפ_58553-06-21.docx,אפרת פינק
תפ_58603-06-21.docx,מרב גרינברג
תפ_62962-06-21.docx,יואל עדן
תפ_29918-07-21.docx,אליהו ביתן
תפ_43383-07-21.docx,יואל עדן
תפ_63018-07-21.docx,אילן סלע
תפ_7271-08-21.docx,חגי טרסי
תפ_16097-08-21.docx,אינאס סלאמה
תפ_16540-08-21.docx,יואל עדן
תפ_5649-09-21.docx,אליהו ביתן
תפ_6574-09-21.docx,דניאל פיש
תפ_6681-09-21.docx,תמר בר-אשר
תפ_8066-09-21.docx,חנה מרים לומפ
תפ_11199-09-21.docx,מעין בן ארי
תפ_32835-09-21.docx,מרב גרינברג
תפ_38706-09-21.docx,אברהם רובין
תפ_12612-10-21.docx,אמיר טובי
תפ_18479-10-21.docx,יואל עדן
תפ_20354-10-21.docx,מרב גרינברג
תפ_39230-10-21.docx,יואל עדן
תפ_61406-10-21.docx,תמר בר-אשר
תפ_65963-10-21.docx,אליהו ביתן
תפ_68419-10-21.docx,יובל ליבדרו
תפ_68754-10-21.docx,חנה מרים לומפ
תפ_68782-10-21.docx,אברהם רובין
תפ_71333-10-21.docx,דניאל פיש
תפ_1136-11-21.docx,תמר בר-אשר
תפ_7874-11-21.docx,יואל עדן
תפ_47042-01-22.docx,אילן סלע
תפ_48176-01-22.docx,מרב גרינברג
תפ_52231-01-22.docx,בני שגיא
תפ_63413-01-22.docx,מרב גרינברג
תפ_880-02-22.docx,אספרנצה אלון
תפ_33916-02-22.docx,מרב גרינברג
תפ_40082-02-22.docx,מרב גרינברג
תפ_6944-03-22.docx,יובל ליבדרו
